Review ID,Source,Review Text,Lawrence's Manual Label,TextBlob Label,AFINN Label,Vader,ChatGPT,Claude,,TextBlob Polarity,TextBlob Subjectivity,AFINN Score,VADER Neg,VADER Neu,VADER Pos,VADER Compound
1,Amazon,"This water filter is amazing! Setup was super simple, took maybe 10 minutes. The water tastes so much cleaner than before, and I am excited to use the feature of notifications on my phone when the filter needs replacing. Arrived quickly! Great product!",Positive,Positive,Positive,Positive,Positive,Positive,,0.44,0.60,15,0,0.69,0.31,0.9521
2,Amazon,"It's okay. The water tastes fine, but the app is kinda clunky. It keeps asking me to log in again, which is annoying. Hopefully, they fix that in a future update.",Neutral,Neutral,Positive,Positive,Neutral,Neutral,,0.03,0.51,2,0.096,0.731,0.173,0.2144
3,Amazon,"DO NOT BUY! This thing started leaking all over my counter after just a few weeks. Tried contacting customer service, and they were completely unhelpful. Waste of money!",Negative,Negative,Negative,Negative,Negative,Negative,,-0.12,0.17,-1,0.119,0.881,0,-0.5665
4,Amazon,"Really happy with this purchase. The water quality is fantastic, and I feel better knowing I'm not drinking all those chemicals. The smart water usage tracking in the app is also pretty neat. Arrived fast!",Positive,Positive,Positive,Positive,Positive,Positive,,0.40,0.77,13,0,0.596,0.404,0.9622
5,Amazon,"Does what it says. Water tastes alright. Not a huge difference from my tap water, but maybe it's healthier? The app is basic but functional.",Neutral,Negative,Positive,Neutral,Neutral,Neutral,,-0.10,0.51,1,0.057,0.885,0.058,0.0049
6,Amazon,"The smart features are what sold me, and they don't disappoint! Being able to see how much water I've filtered and the estimated filter life is super convenient. Installation was also a breeze. Quick delivery!",Positive,Positive,Positive,Positive,Neutral,Positive,,0.34,0.53,2,0,0.772,0.228,0.857
7,Amazon,"The instructions for setting this up were not very clear, especially connecting it to the Wi-Fi. Took me a while to figure it out. Once connected, it seems to be working fine.",Neutral,Positive,Positive,Negative,Neutral,Neutral,,0.13,0.60,3,0.07,0.877,0.053,-0.1533
8,Amazon,"I used to buy tons of bottled water, but this filter has completely changed that. The water tastes so good, and it's much better for the environment. Highly recommend!",Positive,Positive,Positive,Positive,Positive,Positive,,0.37,0.51,7,0,0.668,0.332,0.9318
9,Amazon,"Be aware that this thing is quite large. It takes up a significant amount of space on my kitchen counter. Measure your space carefully before ordering. Otherwise, the water is good.",Positive,Positive,Positive,Positive,Positive,Neutral,,0.29,0.63,6,0,0.819,0.181,0.6369
10,Amazon,"Had a small issue with the initial setup, but their customer support was excellent. They responded quickly and walked me through the fix. Very impressed with their service.",Positive,Positive,Positive,Positive,Positive,Positive,,0.42,0.58,8,0,0.655,0.345,0.9348
